Name,Red,Green,Blue,Category
Spring green,0,255,127,Aquamarine
Stil de grain yellow,250,218,94,Red
Sunglow,255,204,51,Red
Sunray,227,171,87,Red
Sugar Plum,145,78,117,Pink
Super pink,207,107,169,Pink
Sunset,250,214,165,Red
Tango pink,228,113,122,Pink
Tan,210,180,140,Red
Tangerine,242,133,0,Red
Taupe,72,60,50,Red
Tart Orange,251,77,70,Red
Tea rose,248,131,121,Red
Tan (Crayola),217,154,108,Red
Sweet Brown,168,55,49,Red
Taupe gray,139,133,137,Pink
Tea green,208,240,192,Green
Tenné (tawny),205,87,0,Red
Telemagenta,207,52,118,Pink
Teal,0,128,128,Cyan
Tea rose,244,194,194,Red
Teal blue,54,117,136,Azure
Tiffany Blue,10,186,181,Aquamarine
Tomato,255,99,71,Red
Tuscan,250,214,165,Red
Tumbleweed,222,170,136,Red
Thistle,216,191,216,Magenta
Tickle Me Pink,252,137,172,Pink
Thulian pink,222,111,161,Pink
Terra cotta,226,114,91,Red
Timberwolf,219,215,210,Red
Tropical rain forest,0,117,94,Aquamarine
Titanium yellow,238,230,0,Red
True Blue,45,104,196,Azure
Turquoise,64,224,208,Aquamarine
Trypan Blue,28,5,179,Blue
Tufts blue,62,142,222,Azure
Turquoise blue,0,255,239,Aquamarine
Tuscan brown,111,78,55,Red
Turtle green,138,154,91,Green
Tuscan red,124,72,72,Red
Turquoise green,160,214,180,Aquamarine
Tuscany,192,153,153,Red
Ultra pink,255,111,255,Magenta
Unmellow yellow,255,255,102,Yellow
USAFA blue,0,79,152,Azure
UA blue,0,51,170,Azure
Twilight lavender,138,73,107,Pink
Tuscan tan,166,123,91,Red
Tyrian purple,102,2,60,Pink
Ultramarine,63,0,255,Blue
UA red,217,0,76,Pink
Ultramarine blue,65,102,245,Azure
Ultra red,252,108,133,Pink
Van Dyke brown,102,66,40,Red
Unbleached silk,255,221,202,Red
Umber,99,81,71,Red
United Nations blue,91,146,229,Azure
Upsdell red,174,32,41,Pink
UP Forest green,1,68,33,Aquamarine
Uranian blue,175,219,245,Azure
UP maroon,123,17,19,Pink
Vanilla,243,229,171,Red
Venetian red,200,8,21,Pink
Violet (color wheel),127,0,255,Blue
Violet (crayola),150,61,127,Pink
Vanilla ice,243,143,169,Pink
Verdigris,67,179,174,Aquamarine
Vermilion,217,56,30,Red
Violet,143,0,255,Blue
Veronica,160,32,240,Blue
Vermilion,227,66,52,Red
Vegas gold,197,179,88,Red
Vivid burgundy,159,29,53,Pink
Viridian green,0,150,152,Azure
Violet-blue (Crayola),118,110,200,Blue
Violet-red,247,83,148,Pink
Violet (web),238,130,238,Magenta
Vivid sky blue,0,204,255,Azure
Violet-blue,50,74,178,Azure
Violet (RYB),134,1,175,Blue
Viridian,64,130,109,Aquamarine
Volt,206,255,0,Green
Xanthic,238,237,9,Red
Wine dregs,103,49,71,Pink
Wild orchid,212,112,162,Pink
Wheat,245,222,179,Red
Warm black,0,66,66,Cyan
Vivid violet,159,0,255,Blue
Vivid tangerine,255,160,137,Red
White,255,255,255,Lime
Wild blue yonder,162,173,208,Azure
Wild Strawberry,255,67,164,Pink
Wild watermelon,252,108,133,Pink
Windsor tan,167,85,2,Red
Wine,114,47,55,Pink
Winter Sky,255,0,124,Pink
Wintergreen Dream,86,136,125,Aquamarine
Wisteria,201,160,220,Blue
Xanadu,115,134,120,Aquamarine
Wood brown,193,154,107,Red
Xiketic,12,2,15,Blue
Yellow (Crayola),252,232,131,Red
Yale Blue,15,77,146,Azure
Zomp,57,167,142,Aquamarine
Yellow (RYB),254,254,51,Yellow
Yellow (NCS),255,211,0,Red
YInMn Blue,46,80,144,Azure
Yellow (Munsell),239,204,0,Red
Yellow (process),255,239,0,Red
Zaffre,0,20,168,Azure
Yellow-green,154,205,50,Green
Yellow,255,255,0,Yellow
Yellow Sunshine,255,247,0,Red
Yellow-green (Crayola),197,227,132,Green
Yellow-green (Color Wheel),48,178,26,Green
Yellow (Pantone),254,223,0,Red
Yellow Orange (Color Wheel),255,149,5,Red
Yellow Orange,255,174,66,Red
